"Sex","Age","Married","Education","Informal","Wages","Full_time","Union_member","Social_Group","Urban"
1,30,1,17,0,4500,1,2,1,0
1,28,1,17,0,4400,1,2,1,0
1,26,1,17,1,2000,1,2,1,0
1,32,2,14,1,4600,1,1,1,0
1,35,2,20,0,6250,1,1,1,0
1,31,2,8,1,1800,1,2,3,0
2,30,2,0,1,375,2,2,3,0
2,25,1,17,1,850,1,2,3,0
2,45,2,0,1,480,1,2,1,0
1,20,1,4,1,720,1,2,1,0
2,25,4,0,1,320,1,2,1,0
1,18,1,0,1,600,1,2,1,0
1,40,2,17,1,1400,1,1,1,0
2,36,2,14,1,1167,1,1,1,0
1,40,2,0,0,4048,1,2,1,0
1,40,2,0,1,600,1,2,1,0
2,41,2,0,1,702,1,2,1,0
1,20,1,0,1,600,1,2,1,0
1,33,2,4,1,600,1,2,1,0
2,28,2,4,1,480,1,2,1,0
1,41,2,12,0,5018,1,1,1,0
2,39,2,12,0,4744,1,1,1,0
1,37,2,14,1,1500,1,1,1,0
2,28,2,8,1,700,1,2,1,0
2,23,1,14,1,1500,1,2,1,0
1,41,2,4,1,1800,1,2,1,0
2,57,3,2,1,250,1,2,1,0
1,30,1,2,1,600,1,2,1,0
1,39,2,4,1,2000,1,2,1,0
1,27,1,4,1,2000,1,2,1,0
1,25,1,14,1,1500,1,2,1,0
1,29,1,12,1,1500,1,2,1,0
1,23,1,0,1,1800,1,2,1,0
2,26,1,17,1,1500,1,2,1,0
2,21,1,14,1,1500,1,2,1,0
1,41,1,2,1,2000,1,2,1,0
1,36,1,8,1,2000,1,2,1,0
2,29,1,14,1,1500,1,2,1,0
1,22,1,17,1,2000,1,2,1,0
1,49,2,17,0,6250,1,1,1,0
1,40,2,14,0,1750,1,1,1,0
2,50,3,14,0,5500,1,1,1,0
1,38,2,14,0,1750,1,1,1,0
1,40,2,4,1,600,1,2,1,0
1,33,2,0,1,600,1,2,1,0
2,30,2,0,1,330,1,2,1,0
1,43,2,2,1,600,1,2,1,0
2,35,2,4,1,500,1,2,1,0
2,35,2,4,1,300,1,2,1,0
1,29,2,2,1,600,1,2,1,0
1,22,2,4,1,600,1,2,1,0
2,19,2,2,1,280,1,2,1,0
1,45,2,12,0,4000,1,2,1,0
2,45,2,8,1,702,1,2,1,0
2,37,2,8,1,585,1,2,1,0
1,58,2,4,1,702,1,2,1,0
1,40,2,12,1,703,1,2,1,0
2,32,2,8,1,280,1,2,1,0
2,43,2,8,1,351,1,2,1,0
2,49,2,4,1,702,1,2,1,0
1,45,2,12,1,703,1,2,1,0
2,39,2,8,1,300,1,2,1,0
2,46,2,14,0,4000,1,1,1,0
2,48,2,14,0,3750,1,1,1,0
1,25,1,14,0,1000,1,2,1,0
1,45,2,4,1,234,1,2,1,0
1,54,2,14,0,3750,1,1,1,0
1,35,2,14,1,234,1,2,1,0
1,53,2,4,1,234,1,2,1,0
1,36,2,8,1,800,1,2,1,0
1,36,2,8,1,234,1,2,1,0
1,58,2,12,1,234,1,2,1,0
1,50,2,2,1,234,1,2,1,0
1,32,2,17,0,3750,1,2,1,0
2,30,2,12,1,702,1,2,1,0
1,32,2,17,0,4850,1,2,1,0
2,31,2,4,1,702,1,2,1,0
2,29,2,8,1,702,1,2,1,0
1,37,2,4,1,200,1,2,1,0
1,48,2,8,1,200,1,2,1,0
2,44,2,2,1,400,1,2,1,0
1,24,1,8,1,200,1,2,1,0
2,22,1,8,1,400,1,2,1,0
2,19,1,8,1,400,1,2,1,0
